Name,Code,Description,Price,Billing Cycle
Operator Support,SVC-OPR,Real-time Matrix navigation and exit coordination.,8000,monthly
Combat Training Upload,SVC-TRN,Kung Fu - weapons - piloting - instant knowledge transfer.,25000,one-off
Sentinel Watch,SVC-SEN,Early warning system for machine attacks.,120000,yearly
Hovercraft Maintenance,SVC-HOV,Full ship systems diagnostic and repair.,15000,monthly
Oracle Consultation,SVC-ORC,Prophetic guidance and future insight.,50000,one-off
Construct Access,SVC-CON,24/7 access to training construct environments.,10000,monthly
Emergency Extraction,SVC-EXT,Rapid extraction service from Matrix with armed support.,100000,one-off
Code Analysis,SVC-CODE,Deep dive Matrix code pattern analysis and decryption.,30000,monthly
Zion Dock Space,SVC-DOCK,Secure docking bay rental at Zion.,5000,monthly
Weapons Training,SVC-WEAP,Advanced firearms and explosives training.,18000,one-off
